"";"ensembl_gene_id";"description";"external_gene_name";"entrezgene";"zfin_id_id"
"22";"ENSDARG00000000394";"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]";"matr3l1.1";556290;"ZDB-GENE-030616-40"
"23";"ENSDARG00000000423";"si:ch73-314g15.3 [Source:ZFIN;Acc:ZDB-GENE-030616-19]";"si:ch73-314g15.3";368688;"ZDB-GENE-030616-19"
"24";"ENSDARG00000000442";"solute carrier family 39 (zinc transporter), member 13 [Source:ZFIN;Acc:ZDB-GENE-030616-17]";"slc39a13";368686;"ZDB-GENE-030616-17"
"25";"ENSDARG00000000460";"novel immune-type receptor 2b [Source:ZFIN;Acc:ZDB-GENE-001106-6]";"nitr2b";60647;"ZDB-GENE-001106-6"
"26";"ENSDARG00000000472";"contactin 2 [Source:ZFIN;Acc:ZDB-GENE-990630-12]";"cntn2";30726;"ZDB-GENE-990630-12"
"27";"ENSDARG00000000474";"troponin I type 1a (skeletal, slow) [Source:ZFIN;Acc:ZDB-GENE-030616-266]";"tnni1a";558408;"ZDB-GENE-030616-266"
"28";"ENSDARG00000000476";"PMS1 homolog 1, mismatch repair system component [Source:ZFIN;Acc:ZDB-GENE-030616-528]";"pms1";368631;"ZDB-GENE-030616-528"
"29";"ENSDARG00000000489";"UPF3B, regulator of nonsense mediated mRNA decay [Source:ZFIN;Acc:ZDB-GENE-040426-1630]";"upf3b";393929;"ZDB-GENE-040426-1630"
"30";"ENSDARG00000000503";"syntaxin 1B [Source:ZFIN;Acc:ZDB-GENE-000330-4]";"stx1b";58038;"ZDB-GENE-000330-4"
"31";"ENSDARG00000000516";"ankyrin and armadillo repeat containing [Source:ZFIN;Acc:ZDB-GENE-030616-533]";"ankar";368636;"ZDB-GENE-030616-533"
"32";"ENSDARG00000000529";"oral-facial-digital syndrome 1 [Source:ZFIN;Acc:ZDB-GENE-030131-5427]";"ofd1";327216;"ZDB-GENE-030131-5427"
"33";"ENSDARG00000000540";"asparagine synthetase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030616-362]";"asnsd1";368827;"ZDB-GENE-170731-1"
"34";"ENSDARG00000000540";"asparagine synthetase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030616-362]";"asnsd1";110631416;"ZDB-GENE-170731-1"
"35";"ENSDARG00000000540";"asparagine synthetase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030616-362]";"asnsd1";368827;"ZDB-GENE-030616-362"
"36";"ENSDARG00000000540";"asparagine synthetase domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030616-362]";"asnsd1";110631416;"ZDB-GENE-030616-362"
"37";"ENSDARG00000000542";"general transcription factor IIE, polypeptide 1, alpha [Source:ZFIN;Acc:ZDB-GENE-041210-221]";"gtf2e1";567899;"ZDB-GENE-041210-221"
"38";"ENSDARG00000000551";"solute carrier family 1 (glutamate/neutral amino acid transporter), member 4 [Source:ZFIN;Acc:ZDB-GENE-030616-566]";"slc1a4";368885;"ZDB-GENE-030616-566"
"39";"ENSDARG00000000563";"titin, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-413]";"ttn.1";100001684;"ZDB-GENE-030616-413"
"40";"ENSDARG00000000567";"zinc finger protein 281a [Source:ZFIN;Acc:ZDB-GENE-131126-34]";"znf281a";100005963;"ZDB-GENE-131126-34"
"41";"ENSDARG00000000568";"elongation factor RNA polymerase II [Source:ZFIN;Acc:ZDB-GENE-030131-3946]";"ell";325221;"ZDB-GENE-030131-3946"
"42";"ENSDARG00000000588";"GRP1 (general receptor for phosphoinositides 1)-associated scaffold protein [Source:ZFIN;Acc:ZDB-GENE-060312-30]";"grasp";558950;"ZDB-GENE-060312-30"
"43";"ENSDARG00000000606";"dynein, axonemal, heavy chain 6 [Source:ZFIN;Acc:ZDB-GENE-030616-623]";"dnah6";100148193;"ZDB-GENE-030616-623"
"44";"ENSDARG00000000631";"protein tyrosine phosphatase, non-receptor type 4a [Source:ZFIN;Acc:ZDB-GENE-030616-449]";"ptpn4a";368448;"ZDB-GENE-030616-449"
"45";"ENSDARG00000000638";"opsin 1 (cone pigments), medium-wave-sensitive, 4 [Source:ZFIN;Acc:ZDB-GENE-990604-43]";"opn1mw4";30504;"ZDB-GENE-990604-43"
"46";"ENSDARG00000000651";"O-sialoglycoprotein endopeptidase-like 1 [Source:ZFIN;Acc:ZDB-GENE-030616-532]";"osgepl1";368635;"ZDB-GENE-030616-532"
"47";"ENSDARG00000000656";"proteasome subunit beta 9a [Source:ZFIN;Acc:ZDB-GENE-990415-140]";"psmb9a";30665;"ZDB-GENE-990415-140"
"48";"ENSDARG00000000666";"cellular repressor of E1A-stimulated genes 2 [Source:ZFIN;Acc:ZDB-GENE-041114-173]";"creg2";492339;"ZDB-GENE-041114-173"
"49";"ENSDARG00000000690";"synaptophysin-like 2b [Source:ZFIN;Acc:ZDB-GENE-050417-309]";"sypl2b";799482;"ZDB-GENE-050417-309"
"50";"ENSDARG00000000729";"death-domain associated protein [Source:ZFIN;Acc:ZDB-GENE-010110-3]";"daxx";561006;"ZDB-GENE-010110-3"
"51";"ENSDARG00000000730";"solute carrier family 6 member 22, tandem duplicate 1 [Source:ZFIN;Acc:ZDB-GENE-030616-629]";"slc6a22.1";368923;"ZDB-GENE-030616-629"
"52";"ENSDARG00000000747";"leucine carboxyl methyltransferase 2 [Source:ZFIN;Acc:ZDB-GENE-110714-2]";"lcmt2";100005300;"ZDB-GENE-110714-2"
"53";"ENSDARG00000000760";"zinc finger protein 511 [Source:ZFIN;Acc:ZDB-GENE-030616-621]";"znf511";368916;"ZDB-GENE-030616-621"
"54";"ENSDARG00000000767";"Spi-1 proto-oncogene b [Source:ZFIN;Acc:ZDB-GENE-980526-164]";"spi1b";30117;"ZDB-GENE-980526-164"
"55";"ENSDARG00000000779";"sec1 family domain containing 1 [Source:ZFIN;Acc:ZDB-GENE-030116-3]";"scfd1";317732;"ZDB-GENE-030116-3"
"56";"ENSDARG00000000796";"nuclear receptor subfamily 4, group A, member 1 [Source:ZFIN;Acc:ZDB-GENE-040704-11]";"nr4a1";431720;"ZDB-GENE-040704-11"
"57";"ENSDARG00000000804";"Ras association (RalGDS/AF-6) domain family 6 [Source:ZFIN;Acc:ZDB-GENE-030616-513]";"rassf6";751594;"ZDB-GENE-030616-513"
"58";"ENSDARG00000000830";"TEL2, telomere maintenance 2, homolog (S. cerevisiae) [Source:ZFIN;Acc:ZDB-GENE-061103-523]";"telo2";777634;"ZDB-GENE-061103-523"
"59";"ENSDARG00000000837";"sorting nexin 9a [Source:ZFIN;Acc:ZDB-GENE-030616-66]";"snx9a";368424;"ZDB-GENE-030616-66"
"60";"ENSDARG00000000853";"dual serine/threonine and tyrosine protein kinase [Source:ZFIN;Acc:ZDB-GENE-040826-2]";"dstyk";402922;"ZDB-GENE-040826-2"
"61";"ENSDARG00000000857";"mitogen-activated protein kinase 14a [Source:ZFIN;Acc:ZDB-GENE-010202-2]";"mapk14a";65237;"ZDB-GENE-010202-2"
"62";"ENSDARG00000000861";"scribbled planar cell polarity protein [Source:ZFIN;Acc:ZDB-GENE-030616-572]";"scrib";368473;"ZDB-GENE-030616-572"
"63";"ENSDARG00000000887";"zgc:56699 [Source:ZFIN;Acc:ZDB-GENE-040426-2099]";"zgc:56699";405758;"ZDB-GENE-040426-2099"
"64";"ENSDARG00000000906";"src kinase associated phosphoprotein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-438]";"skap2";368564;"ZDB-GENE-030616-438"
"65";"ENSDARG00000000935";"unkempt family zinc finger [Source:ZFIN;Acc:ZDB-GENE-040426-707]";"unk";393205;"ZDB-GENE-040426-707"
"66";"ENSDARG00000000943";"DAZ interacting zinc finger protein 1 [Source:ZFIN;Acc:ZDB-GENE-040526-1]";"dzip1";402875;"ZDB-GENE-040526-1"
"67";"ENSDARG00000000966";"nuclear receptor corepressor 2 [Source:ZFIN;Acc:ZDB-GENE-030616-81]";"ncor2";561503;"ZDB-GENE-030616-81"
"68";"ENSDARG00000001014";"myosin, heavy chain 9b, non-muscle [Source:ZFIN;Acc:ZDB-GENE-030131-998]";"myh9b";561431;"ZDB-GENE-030131-998"
"69";"ENSDARG00000001015";"zinc finger protein 384 like [Source:ZFIN;Acc:ZDB-GENE-030616-498]";"znf384l";368610;"ZDB-GENE-030616-498"
"70";"ENSDARG00000001057";"bystin-like [Source:ZFIN;Acc:ZDB-GENE-040426-1287]";"bysl";394081;"ZDB-GENE-040426-1287"
"71";"ENSDARG00000001127";"solute carrier family 17 (vesicular glutamate transporter), member 6a [Source:ZFIN;Acc:ZDB-GENE-050105-4]";"slc17a6a";494492;"ZDB-GENE-050105-4"
"72";"ENSDARG00000001129";"dicer 1, ribonuclease type III [Source:ZFIN;Acc:ZDB-GENE-030131-3445]";"dicer1";324724;"ZDB-GENE-030131-3445"
"73";"ENSDARG00000001154";"RIMS binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-040724-96]";"rimbp2";563166;"ZDB-GENE-040724-96"
"74";"ENSDARG00000001162";"matrin 3-like 1.1 [Source:ZFIN;Acc:ZDB-GENE-030616-40]";"matr3l1.1";556124;"ZDB-GENE-030616-40"
"75";"ENSDARG00000001169";"hydroxysteroid (17-beta) dehydrogenase 8 [Source:ZFIN;Acc:ZDB-GENE-010110-1]";"hsd17b8";64815;"ZDB-GENE-010110-1"
"76";"ENSDARG00000001210";"ADP-ribosylation factor-like 14 effector protein [Source:ZFIN;Acc:ZDB-GENE-060825-216]";"arl14ep";751672;"ZDB-GENE-060825-216"
"77";"ENSDARG00000001220";"MYC binding protein 2 [Source:ZFIN;Acc:ZDB-GENE-030616-132]";"mycbp2";368439;"ZDB-GENE-030616-132"
"78";"ENSDARG00000001234";"mitogen-activated protein kinase kinase kinase kinase 2 [Source:ZFIN;Acc:ZDB-GENE-030616-163]";"map4k2";678610;"ZDB-GENE-030616-163"
"79";"ENSDARG00000001241";"poly-U binding splicing factor b [Source:ZFIN;Acc:ZDB-GENE-040625-116]";"puf60b";415211;"ZDB-GENE-040625-116"
"80";"ENSDARG00000001244";"serine/arginine repetitive matrix 1 [Source:ZFIN;Acc:ZDB-GENE-040426-2789]";"srrm1";406751;"ZDB-GENE-040426-2789"
"81";"ENSDARG00000001249";"polycomb group ring finger 1 [Source:ZFIN;Acc:ZDB-GENE-030616-605]";"pcgf1";368900;"ZDB-GENE-030616-605"
"82";"ENSDARG00000001259";"growth arrest-specific 2a [Source:ZFIN;Acc:ZDB-GENE-091013-1]";"gas2a";557312;"ZDB-GENE-091013-1"
"83";"ENSDARG00000001303";"proteasome subunit beta 8A [Source:ZFIN;Acc:ZDB-GENE-990415-141]";"psmb8a";30666;"ZDB-GENE-990415-141"
"84";"ENSDARG00000001313";"G2/M-phase specific E3 ubiquitin protein ligase [Source:ZFIN;Acc:ZDB-GENE-030616-400]";"g2e3";368848;"ZDB-GENE-030616-400"
"85";"ENSDARG00000001354";"solute carrier family 6 member 22, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030616-628]";"slc6a22.2";561024;"ZDB-GENE-030616-628"
"86";"ENSDARG00000001414";"multiple C2 domains, transmembrane 2a [Source:ZFIN;Acc:ZDB-GENE-040724-63]";"mctp2a";562393;"ZDB-GENE-040724-63"
"87";"ENSDARG00000001431";"actinin alpha 3b [Source:ZFIN;Acc:ZDB-GENE-030131-2040]";"actn3b";323320;"ZDB-GENE-030131-2040"
"88";"ENSDARG00000001437";"solute carrier family 2 (facilitated glucose transporter), member 1a [Source:ZFIN;Acc:ZDB-GENE-030131-3158]";"slc2a1a";555778;"ZDB-GENE-030131-3158"
"89";"ENSDARG00000001442";"inositol polyphosphate phosphatase-like 1b [Source:ZFIN;Acc:ZDB-GENE-030616-75]";"inppl1b";368433;"ZDB-GENE-030616-75"
"90";"ENSDARG00000001447";"mesoderm induction early response 1b, transcriptional regulator [Source:ZFIN;Acc:ZDB-GENE-070705-170]";"mier1b";566167;"ZDB-GENE-070705-170"
"91";"ENSDARG00000001452";"ADAM metallopeptidase domain 8a [Source:ZFIN;Acc:ZDB-GENE-030616-622]";"adam8a";368917;"ZDB-GENE-030616-622"
"92";"ENSDARG00000001463";"L-threonine dehydrogenase 2 [Source:ZFIN;Acc:ZDB-GENE-070620-14]";"tdh2";556781;"ZDB-GENE-070620-14"
"93";"ENSDARG00000001470";"major histocompatibility complex class I ZEA [Source:ZFIN;Acc:ZDB-GENE-070705-176]";"mhc1zea";565708;"ZDB-GENE-070705-176"
"94";"ENSDARG00000001498";"src kinase associated phosphoprotein 1 [Source:ZFIN;Acc:ZDB-GENE-090721-1]";"skap1";563784;"ZDB-GENE-090721-1"
"95";"ENSDARG00000001549";"sp3a transcription factor [Source:ZFIN;Acc:ZDB-GENE-070410-111]";"sp3a";558652;"ZDB-GENE-070410-111"
"96";"ENSDARG00000001557";"translocase of outer mitochondrial membrane 34 [Source:ZFIN;Acc:ZDB-GENE-030131-2081]";"tomm34";323361;"ZDB-GENE-030131-2081"
"97";"ENSDARG00000001558";"kinesin family member C1 [Source:ZFIN;Acc:ZDB-GENE-000208-21]";"kifc1";30453;"ZDB-GENE-000208-21"
"98";"ENSDARG00000001559";"CUB and Sushi multiple domains 2 [Source:ZFIN;Acc:ZDB-GENE-030616-39]";"csmd2";565460;"ZDB-GENE-030616-39"
"99";"ENSDARG00000001572";"perforin 1.3 [Source:ZFIN;Acc:ZDB-GENE-060503-461]";"prf1.3";559849;"ZDB-GENE-060503-461"
"100";"ENSDARG00000001578";"enoyl CoA hydratase, short chain, 1, mitochondrial [Source:ZFIN;Acc:ZDB-GENE-030616-617]";"echs1";368912;"ZDB-GENE-030616-617"
"101";"ENSDARG00000001621";"nuclear transcription factor Y, alpha, like [Source:ZFIN;Acc:ZDB-GENE-040718-491]";"nfyal";573719;"ZDB-GENE-040718-491"
"102";"ENSDARG00000001634";"kirre like nephrin family adhesion molecule 1a [Source:ZFIN;Acc:ZDB-GENE-040426-2126]";"kirrel1a";405804;"ZDB-GENE-040426-2126"
"103";"ENSDARG00000001656";"proteasome subunit beta 13a [Source:ZFIN;Acc:ZDB-GENE-001208-2]";"psmb13a";64280;"ZDB-GENE-001208-2"
"104";"ENSDARG00000001676";"glycoprotein M6Bb [Source:ZFIN;Acc:ZDB-GENE-030710-10]";"gpm6bb";503756;"ZDB-GENE-030710-10"
"105";"ENSDARG00000001686";"uridine-cytidine kinase 1-like 1a [Source:ZFIN;Acc:ZDB-GENE-040724-238]";"uckl1a";570547;"ZDB-GENE-040724-238"
"106";"ENSDARG00000001710";"flotillin 1a [Source:ZFIN;Acc:ZDB-GENE-020430-1]";"flot1a";561345;"ZDB-GENE-020430-1"
"107";"ENSDARG00000001712";"si:ch211-247n2.1 [Source:ZFIN;Acc:ZDB-GENE-141216-101]";"si:ch211-247n2.1";796753;"ZDB-GENE-141216-101"
"108";"ENSDARG00000001721";"otoconin 90 [Source:ZFIN;Acc:ZDB-GENE-070912-300]";"oc90";568941;"ZDB-GENE-070912-300"
"109";"ENSDARG00000001729";"striatin, calmodulin binding protein 3 [Source:ZFIN;Acc:ZDB-GENE-030616-405]";"strn3";563124;"ZDB-GENE-030616-405"
"110";"ENSDARG00000001733";"GULP PTB domain containing engulfment adaptor 1a [Source:ZFIN;Acc:ZDB-GENE-030616-21]";"gulp1a";368404;"ZDB-GENE-030616-21"
"111";"ENSDARG00000001734";"FK506 binding protein 8 [Source:ZFIN;Acc:ZDB-GENE-040426-1849]";"fkbp8";393858;"ZDB-GENE-040426-1849"
"112";"ENSDARG00000001754";"NOC2-like nucleolar associated transcriptional repressor [Source:ZFIN;Acc:ZDB-GENE-000607-75]";"noc2l";58013;"ZDB-GENE-000607-75"
"113";"ENSDARG00000001760";"tenascin XBa [Source:ZFIN;Acc:ZDB-GENE-070103-5]";"tnxba";100536295;"ZDB-GENE-070103-5"
"114";"ENSDARG00000001767";"solute carrier family 29 (equilibrative nucleoside transporter), member 2 [Source:ZFIN;Acc:ZDB-GENE-050220-15]";"slc29a2";503537;"ZDB-GENE-050220-15"
"115";"ENSDARG00000001769";"protein tyrosine phosphatase, receptor type, A [Source:ZFIN;Acc:ZDB-GENE-020107-1]";"ptpra";140818;"ZDB-GENE-020107-1"
"116";"ENSDARG00000001771";"otolin 1a [Source:ZFIN;Acc:ZDB-GENE-050707-1]";"otol1a";553759;"ZDB-GENE-050707-1"
"117";"ENSDARG00000001776";"stromal interaction molecule 2b [Source:ZFIN;Acc:ZDB-GENE-120404-3]";"stim2b";563901;"ZDB-GENE-120404-3"
"118";"ENSDARG00000001777";"nucleoporin 155 [Source:ZFIN;Acc:ZDB-GENE-040426-711]";"nup155";393125;"ZDB-GENE-040426-711"
"119";"ENSDARG00000001781";"tetraspanin 11 [Source:ZFIN;Acc:ZDB-GENE-041210-93]";"tspan11";564029;"ZDB-GENE-041210-93"
"120";"ENSDARG00000001782";"protein kinase, cAMP-dependent, catalytic, beta a [Source:ZFIN;Acc:ZDB-GENE-040426-1351]";"prkacba";393998;"ZDB-GENE-040426-1351"
"121";"ENSDARG00000001785";"iroquois homeobox 2a [Source:ZFIN;Acc:ZDB-GENE-040426-1446]";"irx2a";394032;"ZDB-GENE-040426-1446"
"122";"ENSDARG00000001788";"ATP synthase peripheral stalk subunit OSCP [Source:ZFIN;Acc:ZDB-GENE-050522-147]";"atp5po";335191;"ZDB-GENE-050522-147"
"123";"ENSDARG00000001803";"potassium voltage-gated channel, subfamily H (eag-related), member 6a [Source:ZFIN;Acc:ZDB-GENE-040702-5]";"kcnh6a";405763;"ZDB-GENE-040702-5"
"124";"ENSDARG00000001804";"zgc:112148 [Source:ZFIN;Acc:ZDB-GENE-050417-235]";"zgc:112148";550424;"ZDB-GENE-050417-235"
"125";"ENSDARG00000001807";"tumor necrosis factor receptor superfamily, member 21 [Source:ZFIN;Acc:ZDB-GENE-030131-5971]";"tnfrsf21";564874;"ZDB-GENE-030131-5971"
"126";"ENSDARG00000001817";"zmp:0000000521 [Source:ZFIN;Acc:ZDB-GENE-130530-524]";"zmp:0000000521";798602;"ZDB-GENE-130530-524"
"127";"ENSDARG00000001818";"complement component c3b, tandem duplicate 2 [Source:ZFIN;Acc:ZDB-GENE-030131-3063]";"c3b.2";566347;"ZDB-GENE-030131-3063"
"128";"ENSDARG00000001825";"cilia and flagella associated protein 43 [Source:ZFIN;Acc:ZDB-GENE-080815-3]";"cfap43";568701;"ZDB-GENE-080815-3"
"129";"ENSDARG00000001829";"zgc:112982 [Source:ZFIN;Acc:ZDB-GENE-050306-55]";"zgc:112982";503771;"ZDB-GENE-050306-55"
"130";"ENSDARG00000001835";"sodium leak channel, non-selective [Source:ZFIN;Acc:ZDB-GENE-050410-12]";"nalcn";548345;"ZDB-GENE-050410-12"
"131";"ENSDARG00000001857";"AF4/FMR2 family, member 4 [Source:ZFIN;Acc:ZDB-GENE-100910-5]";"aff4";556421;"ZDB-GENE-100910-5"
"132";"ENSDARG00000001859";"developing brain homeobox 1b [Source:ZFIN;Acc:ZDB-GENE-000128-11]";"dbx1b";30416;"ZDB-GENE-000128-11"
"133";"ENSDARG00000001870";"ATPase Na+/K+ transporting subunit alpha 1a, tandem duplicate 4 [Source:ZFIN;Acc:ZDB-GENE-001212-4]";"atp1a1a.4";64615;"ZDB-GENE-001212-4"
"134";"ENSDARG00000001873";"phosphoglycerate dehydrogenase [Source:ZFIN;Acc:ZDB-GENE-030131-647]";"phgdh";321928;"ZDB-GENE-030131-647"
"135";"ENSDARG00000001879";"neuron navigator 2b [Source:ZFIN;Acc:ZDB-GENE-061207-13]";"nav2b";557290;"ZDB-GENE-061207-13"
"136";"ENSDARG00000001880";"syntaxin 3A [Source:ZFIN;Acc:ZDB-GENE-040426-1489]";"stx3a";393515;"ZDB-GENE-040426-1489"
"137";"ENSDARG00000001881";"calcium channel, voltage-dependent, beta 3a [Source:ZFIN;Acc:ZDB-GENE-060221-2]";"cacnb3a";565158;"ZDB-GENE-060221-2"
"138";"ENSDARG00000001882";"kelch repeat and BTB (POZ) domain containing 12 [Source:ZFIN;Acc:ZDB-GENE-050904-1]";"kbtbd12";559380;"ZDB-GENE-050904-1"
"139";"ENSDARG00000001888";"protein phosphatase, Mg2+/Mn2+ dependent, 1Ba [Source:ZFIN;Acc:ZDB-GENE-991102-16]";"ppm1ba";30672;"ZDB-GENE-991102-16"
"140";"ENSDARG00000001889";"tubulin, alpha 1a [Source:ZFIN;Acc:ZDB-GENE-090507-4]";"tuba1a";573216;"ZDB-GENE-090507-4"
"141";"ENSDARG00000001890";"STT3B, subunit of the oligosaccharyltransferase complex (catalytic) [Source:ZFIN;Acc:ZDB-GENE-030131-2638]";"stt3b";323918;"ZDB-GENE-030131-2638"
"142";"ENSDARG00000001891";"synaptotagmin XIVb [Source:ZFIN;Acc:ZDB-GENE-041014-36]";"syt14b";561547;"ZDB-GENE-041014-36"
"143";"ENSDARG00000001897";"mannosidase, alpha, class 2B, member 1 [Source:ZFIN;Acc:ZDB-GENE-050327-52]";"man2b1";541519;"ZDB-GENE-050327-52"
"144";"ENSDARG00000001898";"mannosidase, endo-alpha [Source:ZFIN;Acc:ZDB-GENE-040912-87]";"manea";447827;"ZDB-GENE-040912-87"
"145";"ENSDARG00000001906";"si:dkey-247m21.3 [Source:ZFIN;Acc:ZDB-GENE-091204-249]";"si:dkey-247m21.3";559089;"ZDB-GENE-091204-249"
"146";"ENSDARG00000001909";"villin-like [Source:ZFIN;Acc:ZDB-GENE-081222-1]";"vill";555361;"ZDB-GENE-081222-1"
"147";"ENSDARG00000001910";"RAR-related orphan receptor A, paralog b [Source:ZFIN;Acc:ZDB-GENE-040426-855]";"rorab";554722;"ZDB-GENE-040426-855"
"148";"ENSDARG00000001912";"dopamine receptor D4 related sequence [Source:ZFIN;Acc:ZDB-GENE-051113-172]";"drd4-rs";503566;"ZDB-GENE-051113-172"
"149";"ENSDARG00000001913";"palmdelphin a [Source:ZFIN;Acc:ZDB-GENE-070705-48]";"palmda";559824;"ZDB-GENE-070705-48"
"150";"ENSDARG00000001929";"PTEN induced kinase 1 [Source:ZFIN;Acc:ZDB-GENE-041212-53]";"pink1";494085;"ZDB-GENE-041212-53"
"151";"ENSDARG00000001930";"kelch-like family member 15 [Source:ZFIN;Acc:ZDB-GENE-040801-99]";"klhl15";445186;"ZDB-GENE-040801-99"
"152";"ENSDARG00000001933";"protein kinase, AMP-activated, gamma 2 non-catalytic subunit b [Source:ZFIN;Acc:ZDB-GENE-070912-442]";"prkag2b";568316;"ZDB-GENE-070912-442"
"153";"ENSDARG00000001937";"solute carrier family 2, facilitated glucose transporter member 1-like [Source:NCBI gene;Acc:100334818]";"LO018422.1";100334818;""
"154";"ENSDARG00000001939";"beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I) [Source:ZFIN;Acc:ZDB-GENE-020419-3]";"b3gat3";192334;"ZDB-GENE-020419-3"
"155";"ENSDARG00000001940";"DnaJ (Hsp40) homolog, subfamily C, member 1 [Source:ZFIN;Acc:ZDB-GENE-061103-529]";"dnajc1";553324;"ZDB-GENE-061103-529"
"156";"ENSDARG00000001950";"adenylate kinase 1 [Source:ZFIN;Acc:ZDB-GENE-040822-37]";"ak1";445486;"ZDB-GENE-040822-37"
"157";"ENSDARG00000001953";"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3 [Source:ZFIN;Acc:ZDB-GENE-040426-2724]";"pfkfb3";554477;"ZDB-GENE-040426-2724"
"158";"ENSDARG00000001968";"dedicator of cytokinesis 5 [Source:ZFIN;Acc:ZDB-GENE-080108-4]";"dock5";571688;"ZDB-GENE-080108-4"
"159";"ENSDARG00000001969";"taxilin gamma [Source:ZFIN;Acc:ZDB-GENE-060616-122]";"txlng";324984;"ZDB-GENE-060616-122"
"160";"ENSDARG00000001971";"collagen triple helix repeat containing 1b [Source:ZFIN;Acc:ZDB-GENE-050420-46]";"cthrc1b";566140;"ZDB-GENE-050420-46"
